title|authors|year|abstract|pages|numpages|keywords|address|articleno|booktitle|doi|id|issue_date|isbn|issn|journal|location|month|note|number|publisher|series|type|url|volume|filename
Semi-automated checking for regulatory compliance in e-Health|Ilaria Angela Amantea, Ilaria Angela Amantea, Livio Robaldo, Livio Robaldo, Emilio Sulis, Emilio Sulis, Guido Boella, Guido Boella, Guido Governatori, Guido Governatori, Guido Governatori|2021|One of the main issues of every business process is to be compliant with legal rules. This work presents a methodology to check in a semi-automated way the regulatory compliance of a business process. We analyse an e-Health hospital service in particular: the Hospital at Home (HaH) service. The paper shows, at first, the analysis of the hospital business using the Business Process Management and Notation (BPMN) standard language, then, the formalization in Defeasible Deontic Logic (DDL) of some rules of the European General Data Protection Regulation (GDPR). The aim is to show how to combine a set of tasks of a business with a set of rules to be compliant with, using a tool.|||||||null|Amantea_2021||||arXiv: Artificial Intelligence|||||||article|||dissertacao-2024.bib
An Automated Detection of Inconsistencies in SBVR-based Business Rules Using Many-sorted Logic|Kritika Anand, Kritika Anand, Pavan Kumar Chittimalli, Pavan Kumar Chittimalli, Ravindra Naik, Ravindra Naik|2018|Business rules control and constrain the behavior and structure of the business system in terms of its policies and principles. Business rules are restructured frequently as per the internal or external circumstances based on market opportunities, statutory regulations, and business focus. The current practice in industry, of detecting inconsistencies manually, is error prone, due to the size, complexity and ambiguity in representation using natural language.|||||||10.1007/978-3-319-73305-0_6|Anand_2018||||null|||||||article|||dissertacao-2024.bib
Semantic Search and Query Over SBVR-based Business Rules using SMT based Approach and Information Retrieval Method.|Kritika Anand, Kritika Anand, Sayandeep Mitra, Sayandeep Mitra, Pavan Kumar Chittimalli, Pavan Kumar Chittimalli|2019|null|||||||10.5220/0007710700470058|Anand_2019||||null|||||||article|||dissertacao-2024.bib
Finding the Law: Enhancing Statutory Article Retrieval via Graph Neural Networks|Louis Antoine, Gijs Dijck, Gerasimos Spanakis|2023|Statutory article retrieval (SAR), the task of retrieving statute law articles relevant to a legal question, is a promising application of legal text processing. In particular, high-quality SAR systems can improve the work efficiency of legal professionals and provide basic legal assistance to citizens in need at no cost. Unlike traditional ad-hoc information retrieval, where each document is considered a complete source of information, SAR deals with texts whose full sense depends on complementary information from the topological organization of statute law. While existing works ignore these domain-specific dependencies, we propose a novel graph-augmented dense statute retriever (G-DSR) model that incorporates the structure of legislation via a graph neural network to improve dense retrieval performance. Experimental results show that our approach outperforms strong retrieval baselines on a real-world expert-annotated SAR dataset.|||||||10.48550/arxiv.2301.12847|Antoine_2023||||Conference of the European Chapter of the Association for Computational Linguistics|||||||article|||dissertacao-2024.bib
Large-Scale Legal Reasoning with Rules and Databases|Grigoris Antoniou, Robaldo Livio, Grigoris Antoniou, George Baryannis, George Baryannis, Sotiris Batsakis, Sotiris Batsakis, Ilias Tachmazidis, Guido Governatori, Guido Governatori, Guido Governatori, Mohammad Badiul Islam, Mohammad Badiul Islam, Qing Liu, Qing Liu, Livio Robaldo, Livio Robaldo, Livio Robaldo, Giovanni Siragusa, Giovanni Siragusa, Ilias Tachmazidis|2021|Traditionally, computational knowledge representation and reasoning focused its attention on rich domains such as the law. The main underlying assumption of traditional legal knowledge representation and reasoning is that knowledge and data are both available in main memory. However, in the era of big data, where large amounts of data are generated daily, an increasing range of scientific disciplines, as well as business and human activities, are becoming data-driven. This chapter summarises existing research on legal representation and reasoning in order to uncover technical challenges associated both with the integration of rules and databases and with the main concepts of the big data landscape. We expect these challenges lead naturally to future research directions towards achieving large scale legal reasoning with rules and databases.|||||||null|Antoniou_2021||||null|||||||article|||dissertacao-2024.bib
Data driven governments: Creating value through open government data|"Judie Attard, Fabrizio Orlandi, S{\""o}ren Auer"|2016|Governments are one of the largest producers and collectors of data in many different domains and one major aim of open government data initiatives is the release of social and commercial value. Hence, we here explore existing processes of value creation on government data. We identify the dimensions that impact, or are impacted by value creation, and distinguish between the different value creating roles and participating stakeholders. We propose the use of Linked Data as an approach to enhance the value creation process, and provide a Value Creation Assessment Framework to analyse the resulting impact. We also implement the assessment framework to evaluate two government data portals.|84--110|||||||attard2016data||||Transactions on Large-Scale Data-and Knowledge-Centered Systems XXVII: Special Issue on Big Data for Complex Urban Systems|||||Springer||article|||dissertacao-2024.bib
SBVR Business Rules Generation from Natural Language Specification|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Mark Lee, Mark Lee, Behzad Bordbar, Behzad Bordbar|2011|In this paper, we present a novel approach of translating natural languages specification to SBVR business rules. The business rules constraint business structure or control behaviour of a business process. In modern business modelling, one of the important phases is writing business rules. Typically, a business rule analyst has to manually write hundreds of business rules in a natural language (NL) and then manually translate NL specification of all the rules in a particular rule language such as SBVR, or OCL, as required. However, the manual translation of NL rule specification to formal representation as SBVR rule is not only difficult, complex and time consuming but also can result in erroneous business rules. In this paper, we propose an automated approach that automatically translates the NL (such as English) specification of business rules to SBVR (Semantic Business Vocabulary and Rules) rules. The major challenge in NL to SBVR translation was complex semantic analysis of English language. We have used a rule based algorithm for robust semantic analysis of English and generate SBVR rules. Automated generation of SBVR based Business rules can help in improved and efficient constrained business aspects in a typical business modelling.|||||||null|Bajwa_2011||||AAAI Spring Symposium: AI for Business Agility|||||||article|||dissertacao-2024.bib
SBVR vs OCL: A comparative analysis of standards|Imran Sarwar Bajwa, Behzad Bordbar, Mark Lee|2011|In software modelling, the designers have to produce UML visual models with software constraints. Similarly, in business modelling, designers have to model business processes using business constraints (business rules). Constraints are the key components in the skeleton of business or software models. A designer has to write constraints to semantically compliment business models or UML models and finally implementing the constraints into business processes or source code. Business constraints/rules can be written using SBVR (Semantics of Business Vocabulary and Rules) while OCL (Object Constraint Language) is the well-known medium for writing software constraints. SBVR and OCL are two significant standards from OMG. Both standards are principally different as SBVR is typically used in business domains and OCL is employed to compliment software models. However, we have identified a few similarities in both standards that are interesting to study. In this paper, we have performed a comparative analysis of both standards as we are looking for a mechanism for automatic transformation of SBVR to OCL. The major emphasis of the study is to highlight principal features of SBVR and OCL such as similarities, differences and key parameters on which these both standards can work together.|||||||10.1109/inmic.2011.6151485|Bajwa_2011a||||null|||||||article|||dissertacao-2024.bib
SBVR Business Rules Generation from Natural Language Specification|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Mark Lee, Mark Lee, Behzad Bordbar, Behzad Bordbar|2011|In this paper, we present a novel approach of translating natural languages specification to SBVR business rules. The business rules constraint business structure or control behaviour of a business process. In modern business modelling, one of the important phases is writing business rules. Typically, a business rule analyst has to manually write hundreds of business rules in a natural language (NL) and then manually translate NL specification of all the rules in a particular rule language such as SBVR, or OCL, as required. However, the manual translation of NL rule specification to formal representation as SBVR rule is not only difficult, complex and time consuming but also can result in erroneous business rules. In this paper, we propose an automated approach that automatically translates the NL (such as English) specification of business rules to SBVR (Semantic Business Vocabulary and Rules) rules. The major challenge in NL to SBVR translation was complex semantic analysis of English language. We have used a rule based algorithm for robust semantic analysis of English and generate SBVR rules. Automated generation of SBVR based Business rules can help in improved and efficient constrained business aspects in a typical business modelling.|||||||null|Bajwa_2011b||||AAAI Spring Symposium: AI for Business Agility|||||||article|||dissertacao-2024.bib
On a chain of transformations for generating alloy from NL constraints|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Behzad Bordbar, Behzad Bordbar, Kyriakos Anastasakis, Kyriakos Anastasakis, Mark Lee, Mark Lee|2012|Multi-Paradigm Modelling uses models from multiple domains to leverage the tools, techniques and expertise provided by each of the individual domains. Recent advances in model transformation technology allow automated production of one model from another to improve the application of multi-paradigm techniques. Systems development starts with the requirements gathering phase, which usually comprises of a textual description of the system requirements provided in Natural Language (NL). It is therefore evident that there is a clear scope for incorporating NL Processing techniques in Multi- Paradigm Modeling. However, using NLP methods pushes the boundaries of Multi-Paradigm Modeling to an extreme; indeed NLs are inherently ambiguous and open to interpretation. In this paper, we propose a novel approach based on standards (such as SBVR) that can cope with syntactic and semantic ambiguities in NL specifications and can map them to formal languages such as Alloy. The tool implementing our approach is currently the only available tool for translating NL specifications to formal languages such as Alloy, etc.|||||||10.1109/icdim.2012.6360153|Bajwa_2012c||||null|||||||article|||dissertacao-2024.bib
Resolving syntactic ambiguities in natural language specification of constraints|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Mark Lee, Mark Lee, Behzad Bordbar, Behzad Bordbar|2012|In the NL2OCL project, we aim to translate English specification of software constraints to formal constraints such as OCL (Object Constraint Language). In the used approach, the Stanford POS tagger and the Stanford Parser are employed for syntactic analysis of English specification and the output of syntactic analysis is given to our semantic analyzer for the detailed semantic analysis. However, in few cases, the Stanford POS tagger and parser are not able to handle particular syntactic ambiguities in English specifications of software constraints. In this paper, we highlight the identified cases of syntactic ambiguities and we also present a novel technique to automatically resolve the identified syntactic ambiguities. By addressing the identified cases of syntactic ambiguities, we can generate more accurate and complete formal (OCL) specifications.|||||||10.1007/978-3-642-28604-9_15|Bajwa_2012d||||null|||||||article|||dissertacao-2024.bib
NL2 Alloy: A Tool to Generate Alloy from NL Constraints|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Behzad Bordbar, Behzad Bordbar, Mark Lee, Mark Lee, Kyriakos Anastasakis, Kyriakos Anastasakis|2012|In this paper, we present a novel approach to generate Alloy code from Natural Language (NL) constraints. The proposed research is basically an extension of two projects, NL2OCL and UML2Alloy.Our method uses Natural Language Processing (NLP) and Model Transformation (MT) to transform constraints expressed in NL to Alloy. We do not directly transform NL to Alloy, instead we use multiple intermediate translations such as NL2SBVR and SBVR2OCL and finally OCL2Alloy. Such intermediate translations help us to monitor the whole process of translation and produce intermediate artifacts such as OCL constraints, which can be used for documentation purposes. and ensure that actual semantics of NL have been transformed to Alloy. The generated Alloy code can then be used to check if the original NL constraints are consistent. We also introduce the use of OMG's standard SBVR in translation of NL to formal languages. The NL2Alloy approach is also implemented as an Eclipse plugin.|||||||null|Bajwa_2012e||||Journal of Digital Information Management|||||||article|||dissertacao-2024.bib
Addressing Semantic Ambiguities in Natural Language Constraints|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Mark Lee, Mark Lee, Behzad Bordbar, Behzad Bordbar, Ahsan Ali Chaudhri, Ahsan Ali Chaudhri|2012|In NL2OCL project, we aim to translate English specification of constraints to formal constraints such as OCL (Object Constraint Language). In English to OCL translation, our contribution is a semantic analyzer that uses the output of the Stanford parser for shallow and deep semantic parsing. Our analysis of the output of shallow semantic parsing showed that semantic roles were mis-identified for a few English constraints due to semantic ambiguity. Similarly, in deep semantic parsing, it is difficult to resolve scope of quantifier operators due to scope ambiguity that is another sub-type of semantic ambiguity. In this paper, we highlight the identified cases of semantic ambiguities in English constraints. We also present a novel approach to automatically resolve the identified cases of the semantic ambiguities. The presented approach is also evaluated to show that by addressing the identified cases of semantic ambiguities, we can generate more accurate and complete formal (OCL) specifications.|||||||null|Bajwa_2012f||||null|||||||article|||dissertacao-2024.bib
OCL usability: a major challenge in adopting UML|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Behzad Bordbar, Behzad Bordbar, Mark Lee, Mark Lee|2014|In this paper, we present a novel approach to address the OCL usability problem by automatically producing OCL from English text. The main aspects of OCL usability problem are attributed as hard syntax of language, ambiguous nature of OCL expressions, and difficult interpretation of large OCL expressions. Our contribution is a novel approach that aims to present a method involving using Natural Language expressions and Model Transformation technology to improve OCL usability. The aim of the method is to produce a framework so that the user of UML tools can write constraints and pre/post conditions in English and the framework converts such English expressions to the equivalent OCL statements. The proposed approach is implemented in a software tool NL2OCLviaSBVR that generates OCL constraints from English text via SBVR. Our tool allows software modelers and developers to generate well-formed OCL expressions that results in valid and precise models. An empirical evaluation of the OCL constraints reveals that our natural language based approach to generate OCL constraints significantly outperforms the most closely related technique in terms of effort and effectiveness.|||||||10.1145/2593801.2593807|Bajwa_2014||||null|||||||article|||dissertacao-2024.bib
Automated Generation of OCL Constraints: NL based Approach vs Pattern Based Approach|Imran Sarwar Bajwa, Imran Sarwar Bajwa, Muhammad Anwar Shahzada, Muhammad Anwar Shahzada, Muhammad Anwar Shahzada, Lahore Economics|2017|This paper presents an approach used for automated generations of software constraints. In this model, the SBVR (Semantics of Business Vocabulary and Rules) based semi-formal representation is obtained from the syntactic and semantic analysis of a NL (Natural Language) (such as English) sentence. A SBVR representation is easy to translate to other formal languages as SBVR is based on higher-order logic like other formal languages such as OCL (Object Constraint Language). The proposed model endows with a systematic and powerful system of incorporating NL knowledge on the formal languages. A prototype is constructed in Java (an Eclipse plug-in) as a proof of the concept. The performance was tested for a few sample texts taken from existing research thesis reports and books.|||||||10.22581/muet1982.1702.04|Bajwa_2017||||Mehran University Research Journal of Engineering and Technology|||||||article|||dissertacao-2024.bib
Breaking Through the 80% Glass Ceiling: Raising the State of the Art in Word Sense Disambiguation by Incorporating Knowledge Graph Information.|Michele Bevilacqua, Michele Bevilacqua, Roberto Navigli, Roberto Navigli|2020|Neural architectures are the current state of the art in Word Sense Disambiguation (WSD). However, they make limited use of the vast amount of relational information encoded in Lexical Knowledge Bases (LKB). We present Enhanced WSD Integrating Synset Embeddings and Relations (EWISER), a neural supervised architecture that is able to tap into this wealth of knowledge by embedding information from the LKB graph within the neural architecture, and to exploit pretrained synset embeddings, enabling the network to predict synsets that are not in the training set. As a result, we set a new state of the art on almost all the evaluation settings considered, also breaking through, for the first time, the 80% ceiling on the concatenation of all the standard all-words English WSD evaluation benchmarks. On multilingual all-words WSD, we report state-of-the-art results by training on nothing but English.|||||||null|Bevilacqua_2020||||null|||||||article|||dissertacao-2024.bib
Recent Trends in Word Sense Disambiguation: A Survey|Michele Bevilacqua, Michele Bevilacqua, Tommaso Pasini, Tommaso Pasini, Tommaso Pasini, Alessandro Raganato, Alessandro Raganato, Roberto Navigli, Roberto Navigli|2021|Word Sense Disambiguation (WSD) aims at making explicit the semantics of a word in context by identifying the most suitable meaning from a predefined sense inventory. Recent breakthroughs in representation learning have fueled intensive WSD research, resulting in considerable performance improvements, breaching the 80% glass ceiling set by the inter-annotator agreement. In this survey, we provide an extensive overview of current advances in WSD, describing the state of the art in terms of i) resources for the task, i.e., sense inventories and reference datasets for training and testing, as well as ii) automatic disambiguation approaches, detailing their peculiarities, strengths and weaknesses. Finally, we highlight the current limitations of the task itself, but also point out recent trends that could help expand the scope and applicability of WSD, setting up new promising directions for the future.|||||||10.24963/ijcai.2021/593|Bevilacqua_2021||||null|||||||article|||dissertacao-2024.bib
An Approach to Mine Business Rule Intents from Domain-specific Documents|Abhidip Bhattacharyya, Abhidip Bhattacharyya, Pavan Kumar Chittimalli, Pavan Kumar Chittimalli, Ravindra Naik, Ravindra Naik|2017|An enterprise system enables business by providing various services that are guided by set of well-defined processes, and adhere to certain business rules and constraints. The business rules are usually written using English in operating procedures, terms and conditions, and various other supporting documents. For implementing the business rules in a software system, or expressing them as UML use-case specifications, analysts manually interpret the documents, leading to potential discrepancies, ambiguities, and quality issues in the software system that can be resolved only after testing. To minimize such errors, we propose a novel method to mine the documents automatically to extract the fundamental atomic facts in every sentence - called as business rule intents. We adopt dependency tree parser to parse the rule sentences and extract rule intents from them. Our experiments using few publicly available sample documents in the financial domain yielded very promising results, where rule intents extraction produced an average precision of 78% and recall of 80%.|||||||10.1145/3021460.3021470|Bhattacharyya_2017||||null|||||||article|||dissertacao-2024.bib
Relation Identification in Business Rules for Domain-specific Documents|Abhidip Bhattacharyya, Abhidip Bhattacharyya, Pavan Kumar Chittimalli, Pavan Kumar Chittimalli, Ravindra Naik, Ravindra Naik|2018|This paper focuses on an approach to mine business rules from documents and facilitates a methodology to represent them in a formal notation. Businesses are operated abiding by some rules and complying with respect to regulation and guidelines. The business rules are often written using English in operating procedures, terms and conditions, and various other supporting documents. The manual analysis of these rules for activities like impact analysis, maintenance, business transformation leads to potential discrepancies, ambiguities, and quality issues. In this paper, we discuss our approach of mining relations among the rule intents (atomic facts) defined for business rules. We also present our preliminary studies on a couple of openly available documents.|||||||10.1145/3172871.3172884|Bhattacharyya_2018||||null|||||||article|||dissertacao-2024.bib
Eunomos, A Legal Document and Knowledge Management System for Regulatory Compliance|Guido Boella, Guido Boella, Guido Boella, Guido Boella, Llio Humphreys, Llio Humphreys, Marco Antonio Gómez Martín, Marco Martin, Piercarlo Rossi, Piercarlo Rossi, Piercarlo Rossi, Leendert Torre, Leendert Torre, Andrea Violato, Andrea Violato|2012|Legal ontology is one of the most researched areas of Artificial Intelligence & Law, but is less applied in the commercial world. This is mainly due to a historical focus on general purpose legal ontologies that do not capture the variety of definitions and interpretations that apply in different contexts, and a focus on automated extraction over manual verification in a domain where accuracy is of utmost importance. In this paper, we show how the use of a domain-specific ontology within a sophisticated legal monitoring software managed by legal experts can help compliance officers in banks and insurance companies comply with strict regulatory duties in a highly complex and constantly evolving area of law.|||||||10.1007/978-3-7908-2789-7_62|Boella_2012||||null|||||||article|||dissertacao-2024.bib
